meshID=8027640
degree=2
Calculation Start Time:1.4400898796342690e+09
Calculation End Time:1.4400898799782479e+09
Calculation Elapsed Time:3.4397888183593750e-01
1.5000000000000000e+00 1.4531250000000000e+00 9.4436983094341675e-01
1.5000000000000000e+00 1.5000000000000000e+00 9.9796130161186314e-01
1.5000000000000000e+00 1.4062500000000000e+00 8.9295951032873644e-01
1.4487525904477843e+00 1.4487525904477843e+00 8.8160711824262949e-01
1.4743762952238921e+00 1.4275012952238921e+00 8.8685768747344063e-01
1.4743762952238921e+00 1.4743762952238921e+00 9.3897679091225905e-01
1.4062500000000000e+00 1.5000000000000000e+00 8.9295951032873644e-01
1.4016741071428571e+00 1.4016741071428571e+00 7.8045027942284673e-01
1.4529120469839467e+00 1.3593750000000000e+00 7.9144953153874853e-01
1.4272930770634020e+00 1.3805245535714286e+00 7.8553402524230753e-01
1.4508323187158654e+00 1.4040637952238921e+00 8.3555864654069834e-01
1.4252133487953207e+00 1.4252133487953207e+00 8.3033790391498141e-01
1.4275012952238921e+00 1.4743762952238921e+00 8.8685766358554097e-01
1.4039620535714286e+00 1.4508370535714286e+00 8.3545522071467693e-01
1.4531250000000000e+00 1.5000000000000000e+00 9.4436983094341675e-01
1.5000000000000000e+00 1.3125000000000000e+00 7.9661064921550118e-01
1.4764560234919735e+00 1.3828125000000000e+00 8.4151808339788803e-01
1.4764560234919735e+00 1.3359375000000000e+00 7.9361696299411189e-01
1.5000000000000000e+00 1.3593750000000000e+00 8.4371282396510416e-01
1.3213116576993575e+00 1.4183914902322858e+00 7.1694605764488428e-01
1.3125000000000000e+00 1.5000000000000000e+00 7.9661064921550118e-01
1.3169058288496789e+00 1.4591957451161428e+00 7.5596067985387227e-01
1.3637808288496789e+00 1.4591957451161428e+00 8.0278616748178422e-01
1.3614928824211074e+00 1.4100327986875714e+00 7.4795047002594739e-01
1.3772682090047308e+00 1.3322183981381264e+00 6.8551351685985118e-01
1.4050311560977393e+00 1.2640350999926915e+00 6.4940036326161965e-01
1.5000000000000000e+00 1.2187500000000000e+00 7.0875481091940840e-01
1.4525155780488697e+00 1.2413925499963456e+00 6.7794736972809388e-01
1.5000000000000000e+00 1.2656250000000000e+00 7.5163217254344494e-01
1.4525155780488697e+00 1.2882675499963456e+00 7.2125469053794566e-01
1.4289716015408431e+00 1.3117050499963456e+00 7.1871953816208345e-01
1.4150901279943389e+00 1.3457966990690631e+00 7.3753060775373003e-01
1.3894711580737940e+00 1.3669462526404916e+00 7.3219429768289102e-01
1.3492899333520443e+00 1.3753049441852061e+00 7.0023235585556343e-01
1.3593750000000000e+00 1.5000000000000000e+00 8.4371282396510416e-01
1.3911496825512351e+00 1.2981267490654089e+00 6.6691911794778003e-01
1.3078125000000000e+00 1.3078125000000000e+00 5.9544496773046718e-01
1.3355167785891908e+00 1.2387222251735066e+00 5.5933288025993988e-01
1.3216646392945954e+00 1.2732673625867532e+00 5.7684373185810400e-01
1.3563924937969607e+00 1.2854703116558164e+00 6.2084689748776378e-01
1.3702739673434650e+00 1.2513786625830989e+00 6.0354138798290125e-01
1.4293308684287052e+00 1.1927711476103071e+00 6.1138842457304687e-01
1.4646654342143526e+00 1.2057605738051536e+00 6.5920941421283263e-01
1.4171810122632222e+00 1.2284031238014994e+00 6.2983037354078875e-01
1.3824238235089479e+00 1.2157466863919069e+00 5.8428058868354460e-01
1.2402297668085061e+00 1.4056117739802803e+00 6.2859236030731880e-01
1.2807707122539318e+00 1.4120016321062829e+00 6.7187756702245705e-01
1.3145620788496788e+00 1.3631019951161429e+00 6.5452469681374981e-01
1.2740211334042530e+00 1.3567121369901400e+00 6.1071665156195176e-01
1.2763648834042529e+00 1.4528058869901401e+00 7.1036642154486029e-01
1.2187500000000000e+00 1.5000000000000000e+00 7.0875481091940840e-01
1.2294898834042529e+00 1.4528058869901401e+00 6.6759227385096664e-01
1.2656250000000000e+00 1.5000000000000000e+00 7.5163217254344494e-01
1.3425403545023653e+00 1.3200154490690632e+00 6.3967974634459102e-01
1.5000000000000000e+00 1.1250000000000000e+00 6.2920384057762591e-01
1.4646654342143526e+00 1.1588855738051536e+00 6.1942959101148021e-01
1.5000000000000000e+00 1.1718750000000000e+00 6.6795414122426289e-01
1.2658468658604358e+00 1.2138406341395642e+00 4.7611154928999577e-01
1.3006818222248133e+00 1.2262814296565354e+00 5.1689281021431721e-01
1.2868296829302179e+00 1.2608265670697820e+00 5.3415556376911422e-01
1.2208063461403427e+00 1.2903110427799069e+00 5.0309893422523899e-01
1.2433266060003891e+00 1.2520758384597355e+00 4.8889638640059335e-01
1.2643094230701712e+00 1.2990617713899535e+00 5.4817979053020882e-01
1.2305180564744242e+00 1.3479614083800935e+00 5.6392525259015536e-01
1.1443359375000000e+00 1.3353515625000001e+00 4.8181830260694525e-01
1.1558791918439957e+00 1.4201667789799000e+00 5.7154734894692238e-01
1.1250000000000000e+00 1.5000000000000000e+00 6.2920384057762591e-01
1.1873145959219977e+00 1.4600833894899501e+00 6.3849643056557392e-01
1.1404395959219977e+00 1.4600833894899501e+00 5.9958660520992324e-01
1.1718750000000000e+00 1.5000000000000000e+00 6.6795414122426289e-01
1.3581311893363064e+00 1.1682837503279120e+00 5.2166145848274847e-01
1.3468239839627487e+00 1.2035029877507093e+00 5.3995337064739934e-01
1.3119890275983712e+00 1.1910621922337381e+00 4.9787084982894653e-01
1.3937310288825058e+00 1.1805274489691095e+00 5.6565973041129836e-01
1.4079510297303459e+00 1.0774358060799574e+00 4.9897842456488500e-01
1.5000000000000000e+00 1.0312500000000000e+00 5.5773930165761154e-01
1.4539755148651730e+00 1.0543429030399787e+00 5.2727002364884468e-01
1.5000000000000000e+00 1.0781250000000000e+00 5.9247564092971849e-01
1.4539755148651730e+00 1.1012179030399787e+00 5.6236913446940884e-01
1.4186409490795255e+00 1.1351034768451322e+00 5.5338870648627592e-01
1.3830411095333262e+00 1.1228597782039347e+00 5.0937214575354339e-01
1.1980544793262509e+00 1.4128892764800902e+00 5.9928353650627542e-01
1.1501075646719978e+00 1.3777591707399499e+00 5.2564502038754568e-01
