meshID=8502936
degree=2
Calculation Start Time:1.4392512681258759e+09
Calculation End Time:1.4392512682251451e+09
Calculation Elapsed Time:9.9269151687622070e-02
1.3125000000000000e+00 1.5000000000000000e+00 7.9661064921550118e-01
1.5000000000000000e+00 1.5000000000000000e+00 9.9796130161186314e-01
1.1718750000000000e+00 1.1718750000000000e+00 3.6813725654725432e-01
1.1250000000000000e+00 1.5000000000000000e+00 6.2920384057762591e-01
1.1484375000000000e+00 1.3359375000000000e+00 4.8556785571854910e-01
1.3359375000000000e+00 1.3359375000000000e+00 6.4854511706367468e-01
1.5000000000000000e+00 1.1250000000000000e+00 6.2920384057762591e-01
1.2187500000000000e+00 8.4375000000000000e-01 2.0506790655769758e-01
9.3750000000000000e-01 9.3750000000000000e-01 9.7035604495397679e-02
1.1953125000000000e+00 1.0078125000000000e+00 2.7538035930502097e-01
1.0546875000000000e+00 1.0546875000000000e+00 2.1263591633849083e-01
1.0781250000000000e+00 8.9062500000000000e-01 1.4255874742472402e-01
1.3359375000000000e+00 1.1484375000000000e+00 4.8556776666525109e-01
1.3593750000000000e+00 9.8437500000000000e-01 3.9068241747161542e-01
1.5000000000000000e+00 1.3125000000000000e+00 7.9661064921550118e-01
8.7890625000000000e-01 1.2304687500000000e+00 2.2965673221386948e-01
7.5000000000000000e-01 1.5000000000000000e+00 3.8921311623473065e-01
1.0019531250000000e+00 1.3652343750000000e+00 4.0713601853282266e-01
8.1445312500000000e-01 1.3652343750000000e+00 2.9998983732182277e-01
9.3750000000000000e-01 1.5000000000000000e+00 4.9411137370560165e-01
1.0253906250000000e+00 1.2011718750000000e+00 2.9014751228069641e-01
9.0820312500000000e-01 1.0839843750000000e+00 1.5352077397122280e-01
1.5000000000000000e+00 7.5000000000000000e-01 3.8921311623473065e-01
1.3125000000000000e+00 6.5625000000000000e-01 1.9330412959337451e-01
1.1250000000000000e+00 5.6250000000000000e-01 6.1883238256521485e-02
1.2187500000000000e+00 6.0937500000000000e-01 1.1910365088928668e-01
1.2656250000000000e+00 7.5000000000000000e-01 1.9622158142789767e-01
1.1718750000000000e+00 7.0312500000000000e-01 1.2163544746800933e-01
1.0469067235715965e+00 7.5782836178579827e-01 7.8858944905876693e-02
1.0859533617857982e+00 6.6016418089289908e-01 6.7976560696774727e-02
1.1328283617857982e+00 8.0078918089289908e-01 1.3506172126540769e-01
9.9220336178579827e-01 8.4766418089289908e-01 8.5402482539263705e-02
9.0628172357159653e-01 8.0470336178579827e-01 4.2359207889336260e-02
7.7348508535739480e-01 8.3592163821420185e-01 1.8613717312466672e-02
8.3988340446449561e-01 8.2031250000000000e-01 2.8905309945406552e-02
8.5549254267869745e-01 8.8671081910710092e-01 5.0535667919092683e-02
9.2189086178579827e-01 8.7110168089289908e-01 6.6802241909658402e-02
9.7659422357159653e-01 7.8126586178579827e-01 5.8545469047679870e-02
1.3593750000000000e+00 7.9687500000000000e-01 2.8685149834325663e-01
1.4062500000000000e+00 7.0312500000000000e-01 2.8354383314499332e-01
1.5000000000000000e+00 9.3750000000000000e-01 4.9411137370560165e-01
7.0439557368803452e-01 1.0160485245626782e+00 5.2530610797112159e-02
4.7129114737606892e-01 1.0945970491253563e+00 3.4110643416458641e-02
5.8784336053205166e-01 1.0553227868440174e+00 4.0686565811950952e-02
7.9165091184401726e-01 1.1232586372813391e+00 1.2655747096503889e-01
6.7509869868803452e-01 1.1625328995626782e+00 1.0800112263380933e-01
6.1064557368803452e-01 1.2972985245626782e+00 1.6757051560846359e-01
3.7500000000000000e-01 1.5000000000000000e+00 2.5953508098361833e-01
4.2314557368803446e-01 1.2972985245626782e+00 1.2031273668289133e-01
5.6250000000000000e-01 1.5000000000000000e+00 3.1194983799747600e-01
7.3894032952271460e-01 9.2598508138844005e-01 3.2543589487340215e-02
8.2094778684401726e-01 9.7677426228133912e-01 7.0539525084962293e-02
1.5000000000000000e+00 3.7500000000000000e-01 2.5953508098361833e-01
1.3125000000000000e+00 4.6875000000000000e-01 1.3926487246693492e-01
1.3125000000000000e+00 5.6250000000000000e-01 1.6335780586772014e-01
1.4062500000000000e+00 5.1562500000000000e-01 2.1767832177957436e-01
1.4062500000000000e+00 4.2187500000000000e-01 1.9379689213386131e-01
1.5000000000000000e+00 5.6250000000000000e-01 3.1194983799747600e-01
1.2187500000000000e+00 5.1562500000000000e-01 9.5612273558072308e-02
1.2147543840569375e+00 3.7500000000000000e-01 6.8118715873919863e-02
1.2636271920284687e+00 4.2187500000000000e-01 1.0063268125786767e-01
1.1698771920284687e+00 4.6875000000000000e-01 6.3029700809029462e-02
1.0941685267857144e+00 3.1333705357142855e-01 1.7933640020933232e-02
9.3750000000000000e-01 4.6875000000000000e-01 3.4215731911869940e-03
8.7506344714319306e-01 6.7190672357159653e-01 1.0336665928822607e-02
7.4226680892899133e-01 7.0312500000000000e-01 1.1477850049831288e-03
7.5787594714319306e-01 7.6952331910710092e-01 6.4702836347956183e-03
8.2427426625029399e-01 7.5391418089289919e-01 1.3417410615806761e-02
8.0866512803609214e-01 6.8751586178579827e-01 4.0086789281476775e-03
1.0000317235715965e+00 6.1720336178579827e-01 2.9283907560978487e-02
9.6876586178579827e-01 5.4297668089289908e-01 1.2234585098758979e-02
9.3754758535739480e-01 6.4455504267869745e-01 1.8295242043911558e-02
1.0234692235715965e+00 6.8751586178579827e-01 5.0838674484497692e-02
1.0625158617857982e+00 5.8985168089289908e-01 4.3698904221399611e-02
1.0312500000000000e+00 5.1562500000000000e-01 2.2741211540919463e-02
1.0158342633928572e+00 3.9104352678571430e-01 8.1627351831056096e-03
1.1095842633928572e+00 4.3791852678571430e-01 3.5338585383597632e-02
1.1544614554213259e+00 3.4416852678571430e-01 3.9346788109070177e-02
9.6098508535739480e-01 7.1486754267869745e-01 3.6986581130603172e-02
8.9067258535739480e-01 7.3830504267869745e-01 2.3590133909680157e-02
6.0947017071478959e-01 7.3434327642840358e-01 0.0000000000000000e+00
6.9147762803609214e-01 7.8513245732130277e-01 2.0069855611787907e-03
6.7586848982189052e-01 7.1873413821420185e-01 0.0000000000000000e+00
6.5693287220141205e-01 8.7519590049554097e-01 8.9015857603789734e-03
5.4038065904542920e-01 9.1447016277687987e-01 5.5161446671629800e-03
6.2238811636673186e-01 9.6525934366977906e-01 2.1657138202883754e-02
5.7492541488010940e-01 8.2440671960264167e-01 0.0000000000000000e+00
3.5969198190911894e-01 7.4755956924868450e-01 6.4663628393906033e-04
2.9060247023975860e-01 9.2768645559716090e-01 0.0000000000000000e+00
3.2514722607443880e-01 8.3762301242292270e-01 0.0000000000000000e+00
3.8094680880791376e-01 1.0111417523612585e+00 6.6078924236333825e-03
4.1549156464259396e-01 9.2107830918702038e-01 0.0000000000000000e+00
4.5003632047727404e-01 8.3101486601278218e-01 0.0000000000000000e+00
5.0583590321074912e-01 1.0045336059511181e+00 1.5494875291409627e-02
2.8440187074736889e-01 1.1156562518523891e+00 2.1602213127139901e-02
2.8750217049356375e-01 1.0216713537247750e+00 3.2606484864063866e-03
3.7784650906171890e-01 1.1051266504888728e+00 2.6525724570491540e-02
2.3625629705933443e-01 1.3183577272897109e+00 1.0477022121886027e-01
0.0000000000000000e+00 1.5000000000000000e+00 2.1953489189183562e-01
1.1812814852966722e-01 1.4091788636448555e+00 1.5336889587922170e-01
3.0562814852966724e-01 1.4091788636448555e+00 1.7360281404106961e-01
1.8750000000000000e-01 1.5000000000000000e+00 2.2936092362385307e-01
