meshID=9225217
degree=1
Calculation Start Time:1.4387250337044151e+09
Calculation End Time:1.4387250337418931e+09
Calculation Elapsed Time:3.7477970123291016e-02
1.5000000000000000e+00 1.5000000000000000e+00 9.9796130161186314e-01
1.5000000000000000e+00 1.3125000000000000e+00 7.9661064921550118e-01
1.4016741071428571e+00 1.4016741071428571e+00 7.8374937070801609e-01
1.3125000000000000e+00 1.5000000000000000e+00 7.9661064921550118e-01
1.3078125000000000e+00 1.3078125000000000e+00 5.9649592883663971e-01
1.3581311893363064e+00 1.1682837503279120e+00 5.2249799753281523e-01
1.5000000000000000e+00 1.1250000000000000e+00 6.2920384057762591e-01
1.1443359375000000e+00 1.3353515625000001e+00 4.8037852586399282e-01
1.1250000000000000e+00 1.5000000000000000e+00 6.2920384057762591e-01
1.1718750000000000e+00 1.1718750000000000e+00 3.6521602440067863e-01
1.3183593750000000e+00 1.0253906250000000e+00 3.8004773816534609e-01
1.5000000000000000e+00 9.3750000000000000e-01 4.9411137370560165e-01
9.3750000000000000e-01 1.5000000000000000e+00 4.9411137370560165e-01
9.7250525792320253e-01 1.2772358985165733e+00 3.1484919240799519e-01
1.1474609375000000e+00 1.0009765625000000e+00 2.3761658050595627e-01
1.2187500000000000e+00 8.4375000000000000e-01 2.0550017129123718e-01
1.3593750000000000e+00 7.9687500000000000e-01 2.8760496843668093e-01
1.5000000000000000e+00 7.5000000000000000e-01 3.8921311623473065e-01
9.1849097143928682e-01 1.1111299891085142e+00 1.7257485849170037e-01
7.6370889750251536e-01 1.1920696325008384e+00 1.5156435721919742e-01
8.2150135250473144e-01 1.3489128622989752e+00 2.9142059686078187e-01
7.5000000000000000e-01 1.5000000000000000e+00 3.8921311623473065e-01
9.3750000000000000e-01 9.3750000000000000e-01 9.6770434889957041e-02
8.2308010521994956e-01 1.0128288482115861e+00 8.5535158779394674e-02
6.9678154065442710e-01 9.5977208348690157e-01 2.8831139786785812e-02
6.0646540802108007e-01 1.1764371840677335e+00 9.4931055148800125e-02
